I	-1.0630255938	4.3478703499	8.7819318771
u	5.2193598747	1.9632453918	8.1977462769
s	4.9703626633	0.6799532771	8.877699852
i	4.9703626633	1.6184803247	8.3126678467
n	4.8745946884	1.2832920551	8.9638910294
g	5.1810526848	2.5282769203	7.6039848328
t	5.6024317741	3.227383852	7.4124484062
h	5.2193598747	2.4708161354	8.0157871246
e	5.3725886345	0.6033388376	8.7627782822
k	5.0757074356	1.7812861204	8.6861639023
e	5.4204726219	0.4692635238	9.3086557388
y	6.0046577454	3.1316158772	7.3741412163
b	5.3055510521	2.7006595135	8.101978302
o	4.8937482834	1.8770540953	8.6478567123
a	5.0278234482	1.9728221893	7.9487495422
r	5.2863974571	0.3543418646	8.896853447
d	5.1140146255	0.6224924326	9.2033109665
I	4.7788267136	1.6663644314	8.3797063828
j	4.8650178909	1.8770540953	8.5808191299
u	5.0565538406	2.5857379436	8.2264766693
s	5.2193598747	0.9864110947	9.2607717514
t	5.4396262169	2.8921957016	7.1251444817
s	5.8610057831	1.5610195398	8.5808191299
e	5.8897361755	0.5937620401	8.858546257
n	5.3725886345	1.7812861204	8.1977462769
t	5.7365074158	3.1316158772	6.4643445015
o	4.8937482834	1.5322890282	8.6382799149
n	5.0852842331	1.9728221893	8.4371671677
e	5.3534350395	0.6991068721	8.9638910294
.	4.4340615273	2.0302829742	8.8298158646
T	5.0565538406	0.1436520964	8.5808191299
I	4.9703626633	1.6089035273	7.8912887573
M	4.9320554733	1.2832920551	8.6957406998
E	5.0182466507	0.5075707436	9.3469638824
I	4.807557106	2.0302829742	8.3318214417
I	4.9799394608	2.2218191624	7.80509758
M	4.5968670845	1.2641384602	8.1785926819
E	5.2768206596	-0.1149216816	9.2511949539
i	4.9799394608	2.11647439	8.4084367752
T	5.5066637993	3.0741550922	6.8282632828
H	5.3342814445	2.3367409706	7.7284832001
E	4.9416322708	0.8331822157	8.1881694794
h	5.1044378281	2.4708161354	7.80509758
e	5.8226985931	0.8140285611	9.1075429916
k	4.9129018784	1.5322890282	8.7340478897
e	5.0086698532	0.7565677166	8.7436246872
y	5.382165432	2.7389667034	7.3166804314
b	5.1140146255	2.5665841103	7.9200191498
o	4.9320554733	1.4365210533	8.9638910294
a	4.9607858658	1.4460978508	9.1362733841
r	4.9416322708	0.5841852427	8.8489694595
d	4.5777134895	1.0151414871	8.7148942947
n	4.7309427261	1.9345149994	8.5520887375
o	4.7596731186	1.7621324062	8.9255838394
t	5.8514289856	4.0988731384	7.0868368149
n	4.7596731186	1.9153614044	8.2935142517
o	4.7788267136	1.3407529593	8.8872766495
t	4.9416322708	3.1986534595	7.3549876213
c	4.7022123337	1.0247182846	8.8489694595
h	4.807557106	2.691082716	8.1785926819
a	4.9990930557	1.9153614044	8.6765871048
n	4.9129018784	2.422932148	8.082824707
g	5.0948610306	2.9113492966	7.5177931786
e	5.0565538406	1.4844050407	7.9966335297
t	5.8610057831	-0.1723825186	8.2073230743
o	5.0278234482	1.1013327837	8.4658975601
c	4.5106759071	0.7852981687	8.839392662
a	4.8937482834	1.3215993643	8.9160070419
p	4.3574471474	0.9768342972	8.9926214218
i	4.8650178909	2.0590133667	8.3030910492
t	5.4683566093	3.2848446369	7.1155676842
a	5.3247046471	2.0111293793	8.54251194
l	4.6830587387	1.2258312702	8.7436246872
l	4.5202527046	1.2832920551	8.4946279526
e	5.0182466507	0.3351882398	9.2895021439
t	5.6982002258	3.3901896477	6.9527616501
t	5.6503162384	3.1411926746	7.3741412163
e	5.8226985931	1.5131354332	7.9104423523
r	5.8226985931	0.8906430602	8.2935142517
a	5.2768206596	2.135627985	8.2168998718
n	5.2576670647	2.3558945656	8.1881694794
d	5.2863974571	0.7278373241	8.5329351425
s	4.9799394608	1.5227122307	8.6287031174
m	4.8554410934	1.9919757843	8.5329351425
a	4.9607858658	1.5322890282	8.9160070419
l	4.7022123337	1.8004397154	8.5712423325
l	4.568136692	1.8770540953	8.9351606369
l	4.7405195236	1.7525556087	8.6191263199
e	5.0948610306	1.2162544727	8.1881694794
t	5.5258173943	2.8251581192	7.2209124565
t	5.7652378082	3.4572272301	7.6901760101
e	5.3151278496	2.0398597717	7.6231384277
r	5.2768206596	1.4460978508	8.0062103271
e	5.5162405968	1.1875240803	9.0021982193
a	4.9607858658	1.9632453918	8.5999727249
s	5.2576670647	1.0247182846	9.0500822067
i	4.807557106	2.4325089455	8.0349407196
l	4.7692499161	0.9289502501	8.9734678268
y	5.2385134697	3.1890766621	6.6367273331
.	4.6543278694	2.4803929329	8.3413991928
A	4.4436383247	1.3311761618	8.4850511551
L	4.587290287	1.4077905416	8.896853447
S	4.6734819412	0.9576807022	8.6382799149
O	4.9703626633	2.0494365692	8.4371671677
l	4.7022123337	2.0015525818	8.6765871048
s	4.5489830971	0.7086837292	8.6765871048
o	4.7979803085	1.8674772978	8.6382799149
t	6.1004257202	3.9935283661	7.2687964439
g	5.5449709892	3.227383852	7.4986395836
e	5.6982002258	1.6280571222	8.1115550995
h	5.343858242	3.3710360527	7.9966335297
e	5.2480902672	1.3311761618	8.2935142517
c	4.2808327675	1.0055646896	8.6382799149
o	4.4723687172	1.7429788113	8.6957406998
m	4.4149079323	1.9345149994	8.8298158646
m	4.5394062996	2.1930887699	9.0788125992
a	4.5298295021	1.9153614044	8.7723550797
a	4.807557106	2.0398597717	8.9543142319
n	4.5489830971	2.7581202984	8.2264766693
d	4.826710701	1.3311761618	8.6957406998
d	4.9129018784	0.9097966552	8.9734678268
o	4.6639051437	1.6759412289	8.2456302643
t	5.1906294823	0.2968810201	7.7284832001
a	4.826710701	2.2218191624	8.2360534668
r	5.2002062798	1.4077905416	8.6095495224
